zaroni,location,total_sqft,society,status,transaction,furnishing,parking,bath,price
6582,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Raj Vaibhav I,Ready to Move,Resale,Semi-Furnished,,2,1.15 Cr 
6583,3 BHK Apartment for Sale in Kandivali West Mumbai,,Asbury Park,Ready to Move,Resale,Unfurnished,,3,3.50 Cr 
6584,2 BHK Apartment for Sale in Kandivali West Mumbai,831 sqft,ICON,ConstructionPoss. by Dec '26,New Property,Unfurnished,1 Covered,2,2.64 Cr 
6585,2 BHK Apartment for Sale in Kandivali West Mumbai,720 sqft,ICON,,New Property,Unfurnished,,2,2.10 Cr 
6586,3 BHK Apartment for Sale in Kandivali West Mumbai,1000 sqft,Acme Avenue,Ready to Move,Resale,Semi-Furnished,,3,2.15 Cr 
6587,2 BHK Apartment for Sale in Kandivali West Mumbai,700 sqft,Breezy Corner,Ready to Move,Resale,Furnished,1 Open,2,2.35 Cr 
6588,3 BHK Apartment for Sale in Kandivali West Mumbai,980 sqft,Kesar Ashish,Ready to Move,Resale,Unfurnished,,3,4.50 Cr 
6589,3 BHK Apartment for Sale in Kandivali West Mumbai,1100 sqft,Siddha Seabrook,Ready to Move,New Property,Unfurnished,,3,2.75 Cr 
6590,1 BHK Apartment for Sale in Kandivali West Mumbai,488 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.25 Cr 
6591,1 BHK Apartment for Sale in Kandivali West Mumbai,448 sqft,,ConstructionPoss. by Dec '26,New Property,Semi-Furnished,"1 Covered,",2,90 Lac 
6592,2 BHK Apartment for Sale in Kandivali West Mumbai,620 sqft,Ruparel WestSky,ConstructionPoss. by Dec '25,New Property,Unfurnished,1 Covered,2,1.49 Cr 
